FIELD_MGT_NO,EQ_NM,FWK_FCLT_NM,TASK_NM,SOU_ID,L2_AREA_NAME,L3_BUILDING,L4_FLOOR,L5_SECTOR,L6_ROOM,FWK_F1,FWK_F2,FWK_F3,FWK_F4,QR,date
3-3B3-M-PAU-30253,공기조화기,공기조화기,기계,기계그룹-기계사업소-기계-0040877,탑승단지>제2터미널지역>본관구역,제2여객터미널,지상1층,02섹터,미분류,기계,냉난방/공조,공조기 AHU,공기조화기,,
3-3B3-M-PAU-30252,공기조화기,공기조화기,기계,기계그룹-기계사업소-기계-0040878,탑승단지>제2터미널지역>본관구역,제2여객터미널,지상1층,02섹터,미분류,기계,냉난방/공조,공조기 AHU,공기조화기,,
3-3B3-M-PAU-30251,공기조화기,공기조화기,기계,기계그룹-기계사업소-기계-0040879,탑승단지>제2터미널지역>본관구역,제2여객터미널,지상1층,02섹터,미분류,기계,냉난방/공조,공조기 AHU,공기조화기,,
3-3B3-M-PAU-30250,공기조화기,공기조화기,기계,기계그룹-기계사업소-기계-0040880,탑승단지>제2터미널지역>본관구역,제2여객터미널,지상1층,02섹터,미분류,기계,냉난방/공조,공조기 AHU,공기조화기,,
3-3B3-M-PAU-30249,공기조화기,공기조화기,기계,기계그룹-기계사업소-기계-0040881,탑승단지>제2터미널지역>본관구역,제2여객터미널,지상1층,02섹터,미분류,기계,냉난방/공조,공조기 AHU,공기조화기,,
3-3B3-M-PAU-30248,공기조화기,공기조화기,기계,기계그룹-기계사업소-기계-0040882,탑승단지>제2터미널지역>본관구역,제2여객터미널,지상1층,02섹터,미분류,기계,냉난방/공조,공조기 AHU,공기조화기,,
3-3B3-M-PWS-30232,항공기급수박스,항공기급수박스,기계,기계그룹-기계사업소-기계-0040883,탑승단지>제2터미널지역>본관구역,제2여객터미널,지상1층,43섹터,미분류,기계,급수/배수/위생,급수펌프,항공기급수설비,,
3-3B3-M-PWS-30231,항공기급수박스,항공기급수박스,기계,기계그룹-기계사업소-기계-0040884,탑승단지>제2터미널지역>본관구역,제2여객터미널,지상1층,23섹터,미분류,기계,급수/배수/위생,급수펌프,항공기급수설비,,
4-3B2-M-PMP-28301-3,항공기급수 순환펌프,항공기급수 순환펌프,기계,기계그룹-기계사업소-기계-0040885,탑승단지>제2터미널지역>본관구역,제2여객터미널,지하1층,83섹터,미분류,기계,급수/배수/위생,급수펌프,항공기급수설비,,
3-3H2-M-PAC-001,냉난방히트펌프(TC2),냉난방히트펌프(TC2),기계,기계그룹-기계사업소-기계-0040886,외곽지역,제2교통센터,지상1층,01섹터,미분류,기계,냉난방/공조,히트펌프,전기히트펌프,,
