현장관리번호,EQ_NM_시설명칭,FWK_FCLT_NM_기능시설명,TASK_NM_과업,SOU_ID_임시시설번호,L2_AREA_NAME,L3_BUILDING,L4_FLOOR,L5_SECTOR,L6_ROOM,FWK_F1,FWK_F2,FWK_F3,FWK_F4,qrcode,qrcode 등록일시
4-3B4-M-FCU-48501,팬코일유니트,팬코일유니트,기계,기계그룹-기계사업소-기계-0003567,탑승단지>제2터미널지역>본관구역,제2여객터미널 확장,지상2층,85섹터,,기계,냉난방/공조,팬코일/실내기 FCU,팬코일유니트,,
4-3B4-M-FCU-48401,팬코일유니트,팬코일유니트,기계,기계그룹-기계사업소-기계-0003568,탑승단지>제2터미널지역>본관구역,제2여객터미널 확장,지상2층,84섹터,,기계,냉난방/공조,팬코일/실내기 FCU,팬코일유니트,,
4-3B4-M-FCU-48301,팬코일유니트,팬코일유니트,기계,기계그룹-기계사업소-기계-0003569,탑승단지>제2터미널지역>본관구역,제2여객터미널 확장,지상2층,83섹터,,기계,냉난방/공조,팬코일/실내기 FCU,팬코일유니트,,
4-3B4-M-FCU-43501,팬코일유니트,팬코일유니트,기계,기계그룹-기계사업소-기계-0003570,탑승단지>제2터미널지역>본관구역,제2여객터미널 확장,지상2층,35섹터,,기계,냉난방/공조,팬코일/실내기 FCU,팬코일유니트,,
4-3B4-M-FCU-41102,팬코일유니트,팬코일유니트,기계,기계그룹-기계사업소-기계-0003571,탑승단지>제2터미널지역>본관구역,제2여객터미널 확장,지상2층,11섹터,,기계,냉난방/공조,팬코일/실내기 FCU,팬코일유니트,,
4-3B4-M-FCU-41101,팬코일유니트,팬코일유니트,기계,기계그룹-기계사업소-기계-0003572,탑승단지>제2터미널지역>본관구역,제2여객터미널 확장,지상2층,11섹터,,기계,냉난방/공조,팬코일/실내기 FCU,팬코일유니트,,
4-3B4-M-FCU-41202,팬코일유니트,팬코일유니트,기계,기계그룹-기계사업소-기계-0003573,탑승단지>제2터미널지역>본관구역,제2여객터미널 확장,지상2층,12섹터,,기계,냉난방/공조,팬코일/실내기 FCU,팬코일유니트,,
3-3B3-M-AHU-34201,공기조화기,공기조화기,기계,기계그룹-기계사업소-기계-0003574,탑승단지>제2터미널지역>본관구역,제2여객터미널,지상1층,42섹터,미분류,기계,냉난방/공조,공조기 AHU,공기조화기,,
4-3B2-M-EXT-29301,팽창탱크(냉수용),팽창탱크(냉수용),기계,기계그룹-기계사업소-기계-0003575,탑승단지>제2터미널지역>본관구역,제2여객터미널 확장,지하1층,93섹터,미분류,기계,냉난방/공조,열원기기 ? 보일러,난방설비,,
4-3B2-M-EXT-29801,팽창탱크(냉동기),팽창탱크(냉동기),기계,기계그룹-기계사업소-기계-0003576,탑승단지>제2터미널지역>본관구역,제2여객터미널 확장,지하1층,98섹터,미분류,기계,냉난방/공조,열원기기 ? 보일러,난방설비,,
